Date,AGG,SPY,QQQ,AAPL,BA,T,MGM,AMZN,IBM,TSLA,GOOG
2015-01-02,110.43000030517578,205.42999267578125,102.94000244140625,27.332500457763672,129.9499969482422,33.869998931884766,21.020000457763672,308.5199890136719,162.05999755859375,43.86199951171875,523.3731079101562
2015-01-05,110.66999816894531,201.72000122070312,101.43000030517578,26.5625,129.0500030517578,33.54999923706055,20.440000534057617,302.19000244140625,159.50999450683594,42.018001556396484,512.4630126953125
2015-01-06,110.94999694824219,199.82000732421875,100.06999969482422,26.565000534057617,127.52999877929688,33.599998474121094,19.65999984741211,295.2900085449219,156.07000732421875,42.25600051879883,500.58563232421875
2015-01-07,110.93000030517578,202.30999755859375,101.36000061035156,26.9375,129.50999450683594,33.16999816894531,20.43000030517578,298.4200134277344,155.0500030517578,42.189998626708984,499.7279968261719
2015-01-08,110.76000213623047,205.89999389648438,103.30000305175781,27.97249984741211,131.8000030517578,33.5,20.719999313354492,300.4599914550781,158.4199981689453,42.124000549316406,501.3036804199219
2015-01-09,111.02999877929688,204.25,102.62000274658203,28.002500534057617,131.5399932861328,33.400001525878906,20.510000228881836,296.92999267578125,159.11000061035156,41.332000732421875,494.8114929199219
2015-01-12,111.12000274658203,202.64999389648438,101.55000305175781,27.3125,130.8699951171875,33.4900016784668,20.219999313354492,291.4100036621094,156.44000244140625,40.44200134277344,491.201416015625
2015-01-13,111.1500015258789,202.0800018310547,101.5199966430664,27.55500030517578,131.1699981689453,33.4900016784668,20.350000381469727,294.739990234375,156.80999755859375,40.849998474121094,494.82147216796875
2015-01-14,111.41999816894531,200.86000061035156,100.95999908447266,27.450000762939453,130.3800048828125,33.33000183105469,20.229999542236328,293.2699890136719,155.8000030517578,38.53799819946289,499.4986267089844
2015-01-15,111.93000030517578,199.02000427246094,99.6500015258789,26.704999923706055,130.13999938964844,33.2599983215332,20.239999771118164,286.95001220703125,154.57000732421875,38.374000549316406,500.4161071777344
2015-01-16,111.5,201.6300048828125,100.81999969482422,26.497499465942383,130.77999877929688,33.79999923706055,20.010000228881836,290.739990234375,157.13999938964844,38.61399841308594,506.6888732910156
2015-01-20,111.69000244140625,202.05999755859375,101.62000274658203,27.18000030517578,131.22000122070312,33.95000076293945,19.1299991607666,289.44000244140625,156.9499969482422,38.38600158691406,505.5121154785156
2015-01-21,111.48999786376953,203.0800018310547,102.13999938964844,27.387500762939453,132.41000366210938,34.0,19.239999771118164,297.25,152.08999633789062,39.31399917602539,516.6216430664062
2015-01-22,111.43000030517578,206.10000610351562,104.02999877929688,28.100000381469727,135.63999938964844,33.790000915527344,19.889999389648438,310.32000732421875,155.38999938964844,40.32400131225586,532.9268188476562
2015-01-23,111.70999908447266,204.97000122070312,104.26000213623047,28.2450008392334,134.6199951171875,33.369998931884766,20.0,312.3900146484375,155.8699951171875,40.257999420166016,538.4716186523438
2015-01-26,111.66000366210938,205.4499969482422,104.13999938964844,28.274999618530273,134.07000732421875,33.18000030517578,20.889999389648438,309.6600036621094,156.36000061035156,41.310001373291016,533.74462890625
2015-01-27,111.5999984741211,202.74000549316406,101.44000244140625,27.28499984741211,132.47999572753906,32.810001373291016,20.860000610351562,306.75,153.6699981689453,41.19599914550781,517.2100219726562
2015-01-28,112.06999969482422,200.13999938964844,100.91999816894531,28.827499389648438,139.63999938964844,32.68000030517578,20.31999969482422,303.9100036621094,151.5500030517578,39.874000549316406,508.6036376953125
2015-01-29,111.9800033569336,201.99000549316406,101.88999938964844,29.725000381469727,147.77999877929688,32.959999084472656,20.18000030517578,311.7799987792969,155.47999572753906,41.040000915527344,509.2618103027344
2015-01-30,112.37999725341797,199.4499969482422,101.0999984741211,29.290000915527344,145.3699951171875,32.91999816894531,19.479999542236328,354.5299987792969,153.30999755859375,40.720001220703125,533.0565185546875
2015-02-02,112.19999694824219,201.9199981689453,101.9800033569336,29.657499313354492,146.25999450683594,33.560001373291016,19.739999771118164,364.4700012207031,154.66000366210938,42.1879997253418,527.0330200195312
2015-02-03,111.7699966430664,204.83999633789062,102.95999908447266,29.662500381469727,147.33999633789062,34.34000015258789,20.459999084472656,363.54998779296875,158.47000122070312,43.672000885009766,527.7909545898438
2015-02-04,111.94000244140625,204.05999755859375,102.87000274658203,29.889999389648438,147.22000122070312,34.40999984741211,19.8700008392334,364.75,156.9600067138672,43.709999084472656,521.3286743164062
2015-02-05,111.70999908447266,206.1199951171875,103.76000213623047,29.985000610351562,148.60000610351562,34.540000915527344,20.329999923706055,373.8900146484375,157.91000366210938,44.198001861572266,526.135498046875
2015-02-06,111.05999755859375,205.5500030517578,103.12999725341797,29.732500076293945,148.0,34.869998931884766,19.959999084472656,374.2799987792969,156.72000122070312,43.47200012207031,529.546142578125
2015-02-09,111.04000091552734,204.6300048828125,102.80000305175781,29.93000030517578,147.5800018310547,34.63999938964844,19.59000015258789,370.55999755859375,155.75,43.49599838256836,526.3848266601562
2015-02-10,110.91999816894531,206.80999755859375,104.4000015258789,30.5049991607666,148.0399932861328,34.849998474121094,20.739999771118164,373.0,158.55999755859375,43.257999420166016,535.4698486328125
2015-02-11,110.87000274658203,206.92999267578125,104.77999877929688,31.219999313354492,147.9199981689453,34.38999938964844,20.75,375.1400146484375,158.1999969482422,42.560001373291016,534.5025024414062
2015-02-12,110.88999938964844,208.9199981689453,106.0,31.614999771118164,148.08999633789062,34.61000061035156,21.239999771118164,377.1700134277344,158.52000427246094,40.57600021362305,541.4434814453125
