Date,AAPL,AGG,AMZN,BA,GOOG,IBM,MGM,QQQ,SPY,T
2014-01-02,19.754642486572266,106.5,397.9700012207031,136.6699981689453,554.481689453125,185.52999877929688,23.719999313354492,87.2699966430664,182.9199981689453,34.95000076293945
2014-01-03,19.320714950561523,106.54000091552734,396.44000244140625,137.6199951171875,550.4368286132812,186.63999938964844,23.450000762939453,86.63999938964844,182.88999938964844,34.79999923706055
2014-01-06,19.426071166992188,106.68000030517578,393.6300048828125,138.41000366210938,556.5738525390625,186.0,23.479999542236328,86.31999969482422,182.36000061035156,34.959999084472656
2014-01-07,19.28714370727539,106.7300033569336,398.0299987792969,140.50999450683594,567.3035888671875,189.7100067138672,24.510000228881836,87.12000274658203,183.47999572753906,34.95000076293945
2014-01-08,19.409286499023438,106.41000366210938,401.9200134277344,140.82000732421875,568.4841918945312,187.97000122070312,24.729999542236328,87.30999755859375,183.52000427246094,34.2400016784668
2014-01-09,19.161428451538086,106.55999755859375,401.010009765625,142.1300048828125,563.0097045898438,187.3800048828125,24.979999542236328,87.0199966430664,183.63999938964844,33.540000915527344
2014-01-10,19.033571243286133,107.0999984741211,397.6600036621094,141.89999389648438,562.9797973632812,187.25999450683594,25.360000610351562,87.30000305175781,184.13999938964844,33.619998931884766
2014-01-13,19.133214950561523,107.19999694824219,390.9800109863281,140.6999969482422,559.3932495117188,184.16000366210938,25.25,86.01000213623047,181.69000244140625,33.29999923706055
2014-01-14,19.51392936706543,107.04000091552734,397.5400085449219,140.00999450683594,572.553955078125,185.9199981689453,25.780000686645508,87.6500015258789,183.6699981689453,33.47999954223633
2014-01-15,19.90571403503418,106.94999694824219,395.8699951171875,140.6199951171875,572.1654052734375,187.74000549316406,25.719999313354492,88.37000274658203,184.66000366210938,33.790000915527344
2014-01-16,19.79464340209961,107.19999694824219,395.79998779296875,140.2100067138672,575.951171875,188.75999450683594,25.780000686645508,88.37999725341797,184.4199981689453,33.959999084472656
2014-01-17,19.309642791748047,107.25,399.6099853515625,140.4600067138672,573.1168212890625,190.08999633789062,26.40999984741211,87.87999725341797,183.63999938964844,33.70000076293945
2014-01-21,19.609642028808594,107.30000305175781,407.04998779296875,141.6699981689453,579.67724609375,188.42999267578125,26.360000610351562,88.55000305175781,184.17999267578125,33.56999969482422
2014-01-22,19.69678497314453,107.06999969482422,404.5400085449219,144.3699951171875,580.3347778320312,182.25,25.739999771118164,88.77999877929688,184.3000030517578,33.34000015258789
2014-01-23,19.863571166992188,107.3499984741211,399.8699951171875,141.30999755859375,577.8839721679688,182.72999572753906,25.18000030517578,88.4800033569336,182.7899932861328,33.79999923706055
2014-01-24,19.502500534057617,107.58000183105469,387.6000061035156,136.64999389648438,559.816650390625,179.63999938964844,23.780000686645508,86.73999786376953,178.88999938964844,33.41999816894531
2014-01-27,19.660715103149414,107.3499984741211,386.2799987792969,137.36000061035156,548.558837890625,177.89999389648438,23.780000686645508,85.9000015258789,178.00999450683594,33.5099983215332
2014-01-28,18.089284896850586,107.52999877929688,394.42999267578125,137.08999633789062,559.408203125,176.85000610351562,24.049999237060547,85.8499984741211,179.07000732421875,33.70000076293945
2014-01-29,17.883928298950195,107.8499984741211,384.20001220703125,129.77999877929688,551.3932495117188,176.39999389648438,23.280000686645508,84.93000030517578,177.35000610351562,33.310001373291016
2014-01-30,17.849285125732422,107.87000274658203,403.010009765625,126.52999877929688,565.5750732421875,177.36000061035156,24.110000610351562,86.5,179.22999572753906,33.349998474121094
2014-01-31,17.878570556640625,108.06999969482422,358.69000244140625,125.26000213623047,588.2799682617188,176.67999267578125,24.360000610351562,86.2699966430664,178.17999267578125,33.31999969482422
2014-02-03,17.911785125732422,108.2300033569336,346.1499938964844,123.08000183105469,564.5987548828125,172.89999389648438,23.860000610351562,84.29000091552734,174.1699981689453,31.950000762939453
2014-02-04,18.171072006225586,107.97000122070312,347.95001220703125,122.04000091552734,566.9548950195312,172.83999633789062,24.200000762939453,84.91000366210938,175.38999938964844,32.45000076293945
2014-02-05,18.306785583496094,107.69999694824219,346.45001220703125,121.4000015258789,569.4655151367188,174.24000549316406,23.670000076293945,84.69000244140625,175.1699981689453,32.08000183105469
2014-02-06,18.30392837524414,107.6500015258789,354.5899963378906,122.66999816894531,577.814208984375,174.6699981689453,24.290000915527344,85.7699966430664,177.47999572753906,32.0
2014-02-07,18.559999465942383,107.81999969482422,361.0799865722656,127.0199966430664,586.5215454101562,177.25,24.799999237060547,87.30000305175781,179.67999267578125,32.29999923706055
2014-02-10,18.892499923706055,107.93000030517578,360.8699951171875,127.16000366210938,584.2749633789062,177.13999938964844,24.639999389648438,87.80000305175781,180.00999450683594,32.439998626708984
2014-02-11,19.141427993774414,107.72000122070312,361.7900085449219,130.16000366210938,592.8677978515625,179.6999969482422,25.25,88.80000305175781,181.97999572753906,32.95000076293945
2014-02-12,19.139999389648438,107.54000091552734,349.25,128.1300048828125,591.1292724609375,180.24000549316406,25.31999969482422,88.97000122070312,182.07000732421875,32.939998626708984
2014-02-13,19.443927764892578,107.7699966430664,357.20001220703125,129.5,597.7096557617188,181.83999633789062,25.579999923706055,89.62999725341797,183.00999450683594,33.4900016784668
2014-02-14,19.42821502685547,107.7699966430664,357.3500061035156,130.16000366210938,599.1542358398438,183.69000244140625,26.020000457763672,89.80999755859375,184.02000427246094,33.150001525878906
2014-02-18,19.499643325805664,107.83999633789062,353.6499938964844,130.6300048828125,603.1791381835938,183.19000244140625,25.850000381469727,90.25,184.24000549316406,32.81999969482422
