Date,AAPL,CNFR,COST,FB,FMS,GAIA,GOOG,MSFT,RC,^DJI,^GSPC,^IXIC,^RUT
2019-10-01,56.147499084472656,3.7899999618530273,283.92999267578125,175.80999755859375,32.599998474121094,6.329999923706055,1205.0999755859375,137.07000732421875,15.779999732971191,26573.0390625,2940.25,7908.68017578125,1493.4300537109375
2019-10-02,54.7400016784668,3.7899999618530273,285.1099853515625,174.60000610351562,31.799999237060547,6.050000190734863,1176.6300048828125,134.64999389648438,15.640000343322754,26078.619140625,2887.610107421875,7785.25,1479.6300048828125
2019-10-03,55.20500183105469,3.6500000953674316,289.0,179.3800048828125,32.04999923706055,5.900000095367432,1187.8299560546875,136.27999877929688,15.640000343322754,26201.0390625,2910.6298828125,7872.259765625,1486.3499755859375
2019-10-04,56.752498626708984,3.6500000953674316,291.6700134277344,180.4499969482422,32.439998626708984,5.900000095367432,1209.0,138.1199951171875,15.6899995803833,26573.720703125,2952.010009765625,7982.47021484375,1500.699951171875
2019-10-07,56.76499938964844,3.680000066757202,293.4100036621094,179.67999267578125,32.279998779296875,5.820000171661377,1207.6800537109375,137.1199951171875,15.640000343322754,26478.01953125,2938.7900390625,7956.2900390625,1497.7900390625
2019-10-08,56.099998474121094,3.680000066757202,291.8900146484375,177.75,32.099998474121094,5.78000020980835,1189.1300048828125,135.6699981689453,15.539999961853027,26164.0390625,2893.06005859375,7823.77978515625,1472.5999755859375
2019-10-09,56.75749969482422,3.872999906539917,296.8999938964844,179.85000610351562,32.66999816894531,5.630000114440918,1202.31005859375,138.24000549316406,15.569999694824219,26346.009765625,2919.39990234375,7903.740234375,1479.4599609375
2019-10-10,57.522499084472656,3.872999906539917,297.1400146484375,180.02999877929688,32.59000015258789,5.639999866485596,1208.6700439453125,139.10000610351562,15.630000114440918,26496.669921875,2938.1298828125,7950.77978515625,1485.3599853515625
2019-10-11,59.0525016784668,3.872999906539917,297.6000061035156,184.19000244140625,33.16999816894531,5.820000171661377,1215.449951171875,139.67999267578125,15.8100004196167,26816.58984375,2970.27001953125,8057.0400390625,1511.9000244140625
2019-10-14,58.967498779296875,3.872999906539917,297.5199890136719,183.27999877929688,32.91999816894531,5.769999980926514,1217.1400146484375,139.5500030517578,15.760000228881836,26787.359375,2966.14990234375,8048.64990234375,1505.4300537109375
2019-10-15,58.83000183105469,3.680000066757202,298.3900146484375,188.88999938964844,33.68000030517578,5.889999866485596,1243.010009765625,141.57000732421875,15.819999694824219,27024.80078125,2995.679931640625,8148.7099609375,1523.300048828125
2019-10-16,58.592498779296875,3.747999906539917,298.7799987792969,189.5500030517578,33.869998931884766,5.989999771118164,1243.6400146484375,140.41000366210938,15.84000015258789,27001.98046875,2989.68994140625,8124.18017578125,1525.06005859375
2019-10-17,58.81999969482422,3.747999906539917,302.3999938964844,190.38999938964844,34.130001068115234,6.429999828338623,1253.0699462890625,139.69000244140625,16.059999465942383,27025.880859375,2997.949951171875,8156.85009765625,1541.8399658203125
2019-10-18,59.102500915527344,3.747999906539917,302.8599853515625,185.85000610351562,34.16999816894531,6.309999942779541,1245.489990234375,137.41000366210938,16.170000076293945,26770.19921875,2986.199951171875,8089.5400390625,1535.47998046875
2019-10-21,60.127498626708984,3.6700000762939453,301.0799865722656,189.75999450683594,34.2400016784668,6.400000095367432,1246.1500244140625,138.42999267578125,16.309999465942383,26827.640625,3006.719970703125,8162.990234375,1552.4100341796875
2019-10-22,59.9900016784668,3.6700000762939453,299.9700012207031,182.33999633789062,32.209999084472656,6.429999828338623,1242.800048828125,136.3699951171875,16.229999542236328,26788.099609375,2995.989990234375,8104.2998046875,1550.8699951171875
2019-10-23,60.79499816894531,3.6700000762939453,297.32000732421875,186.14999389648438,32.72999954223633,6.510000228881836,1259.1300048828125,137.24000549316406,16.420000076293945,26833.94921875,3004.52001953125,8119.7900390625,1552.8599853515625
2019-10-24,60.89500045776367,3.6700000762939453,297.04998779296875,186.3800048828125,32.77000045776367,6.409999847412109,1260.989990234375,139.94000244140625,16.31999969482422,26805.529296875,3010.2900390625,8185.7998046875,1548.489990234375
2019-10-25,61.64500045776367,3.6700000762939453,296.5,187.88999938964844,32.779998779296875,6.619999885559082,1265.1300048828125,140.72999572753906,16.209999084472656,26958.060546875,3022.550048828125,8243.1201171875,1558.7099609375
2019-10-28,62.26250076293945,3.6600000858306885,298.94000244140625,189.39999389648438,33.130001068115234,7.019999980926514,1290.0,144.19000244140625,16.170000076293945,27090.720703125,3039.419921875,8325.990234375,1571.9300537109375
2019-10-29,60.8224983215332,3.6600000858306885,295.8599853515625,189.30999755859375,34.689998626708984,7.090000152587891,1262.6199951171875,142.8300018310547,16.280000686645508,27071.4609375,3036.889892578125,8276.849609375,1577.0699462890625
2019-10-30,60.814998626708984,3.6600000858306885,299.8399963378906,188.25,36.029998779296875,7.050000190734863,1261.2900390625,144.61000061035156,16.270000457763672,27186.689453125,3046.77001953125,8303.98046875,1572.8499755859375
2019-10-31,62.189998626708984,3.5,297.1099853515625,191.64999389648438,36.06999969482422,6.929999828338623,1260.1099853515625,143.3699951171875,15.829999923706055,27046.23046875,3037.56005859375,8292.3603515625,1562.449951171875
2019-11-01,63.95500183105469,3.680000066757202,296.0899963378906,193.6199951171875,36.61000061035156,7.159999847412109,1273.739990234375,143.72000122070312,16.030000686645508,27347.359375,3066.909912109375,8386.400390625,1589.3299560546875
