Date,AAPL,CNFR,COST,FB,FMS,GAIA,GOOG,MSFT,RC,^DJI,^GSPC,^IXIC,^RUT
2015-10-01,27.395000457763672,9.65999984741211,144.55999755859375,90.94999694824219,39.0,6.210000038146973,611.2899780273438,44.61000061035156,13.369999885559082,16272.009765625,1923.8199462890625,4627.080078125,1097.550048828125
2015-10-02,27.594999313354492,9.270000457763672,145.86000061035156,92.06999969482422,39.439998626708984,6.210000038146973,626.9099731445312,45.56999969482422,13.260000228881836,16472.369140625,1951.3599853515625,4707.77978515625,1114.1199951171875
2015-10-05,27.69499969482422,9.949999809265137,148.07000732421875,94.01000213623047,40.119998931884766,6.559999942779541,641.469970703125,46.630001068115234,13.550000190734863,16776.4296875,1987.050048828125,4781.259765625,1141.6400146484375
2015-10-06,27.827499389648438,9.899999618530273,148.41000366210938,92.80000305175781,40.150001525878906,6.400000095367432,645.4400024414062,46.75,13.5600004196167,16790.189453125,1979.9200439453125,4748.35986328125,1133.68994140625
2015-10-07,27.69499969482422,9.779999732971191,147.9600067138672,92.4000015258789,40.380001068115234,6.559999942779541,642.3599853515625,46.79999923706055,13.960000038146973,16912.2890625,1995.8299560546875,4791.14990234375,1152.5999755859375
2015-10-08,27.375,9.75,151.66000366210938,92.47000122070312,41.279998779296875,6.730000019073486,639.1599731445312,47.45000076293945,14.029999732971191,17050.75,2013.4300537109375,4810.7900390625,1163.239990234375
2015-10-09,28.030000686645508,9.800000190734863,153.97000122070312,93.23999786376953,41.470001220703125,6.420000076293945,643.6099853515625,47.11000061035156,14.1899995803833,17084.490234375,2014.8900146484375,4830.47021484375,1165.3599853515625
2015-10-12,27.899999618530273,9.34000015258789,153.6300048828125,94.26000213623047,41.38999938964844,6.519999980926514,646.6699829101562,47.0,14.210000038146973,17131.859375,2017.4599609375,4838.64013671875,1164.4000244140625
2015-10-13,27.947500228881836,9.0,152.27999877929688,94.12000274658203,40.81999969482422,6.570000171661377,652.2999877929688,46.88999938964844,14.15999984741211,17081.890625,2003.68994140625,4796.60986328125,1147.8399658203125
2015-10-14,27.552499771118164,8.970000267028809,149.83999633789062,94.06999969482422,40.709999084472656,6.849999904632568,651.1599731445312,46.68000030517578,13.789999961853027,16924.75,1994.239990234375,4782.85009765625,1136.969970703125
2015-10-15,27.96500015258789,9.0,151.77000427246094,95.95999908447266,41.900001525878906,6.840000152587891,661.739990234375,47.0099983215332,14.020000457763672,17141.75,2023.8599853515625,4870.10009765625,1162.77001953125
2015-10-16,27.760000228881836,9.140000343322754,152.05999755859375,97.54000091552734,42.279998779296875,6.860000133514404,662.2000122070312,47.5099983215332,13.920000076293945,17215.970703125,2033.1099853515625,4886.68994140625,1162.31005859375
2015-10-19,27.9325008392334,9.34000015258789,153.22000122070312,98.47000122070312,42.560001373291016,6.849999904632568,666.0999755859375,47.619998931884766,13.960000038146973,17230.5390625,2033.6600341796875,4905.47021484375,1164.300048828125
2015-10-20,28.4424991607666,9.399999618530273,154.55999755859375,97.0,42.310001373291016,6.829999923706055,650.280029296875,47.77000045776367,14.0,17217.109375,2030.77001953125,4880.97021484375,1163.27001953125
2015-10-21,28.440000534057617,9.449999809265137,155.2100067138672,97.11000061035156,42.310001373291016,6.659999847412109,642.6099853515625,47.20000076293945,13.899999618530273,17168.609375,2018.93994140625,4840.1201171875,1144.949951171875
2015-10-22,28.875,9.699999809265137,158.14999389648438,99.66999816894531,42.25,6.809999942779541,651.7899780273438,48.029998779296875,13.880000114440918,17489.16015625,2052.510009765625,4920.0498046875,1154.52001953125
2015-10-23,29.770000457763672,9.699999809265137,155.74000549316406,102.19000244140625,43.130001068115234,6.949999809265137,702.0,52.869998931884766,13.880000114440918,17646.69921875,2075.14990234375,5031.85986328125,1166.06005859375
2015-10-26,28.81999969482422,9.65999984741211,156.72999572753906,103.7699966430664,43.279998779296875,6.960000038146973,712.780029296875,54.25,13.789999961853027,17623.05078125,2071.179931640625,5034.7001953125,1159.5
2015-10-27,28.637500762939453,9.390000343322754,157.75999450683594,103.69999694824219,42.97999954223633,6.920000076293945,708.489990234375,53.689998626708984,13.550000190734863,17581.4296875,2065.889892578125,5030.14990234375,1145.2900390625
2015-10-28,29.8174991607666,9.625,157.75999450683594,104.19999694824219,43.68000030517578,6.920000076293945,712.9500122070312,53.97999954223633,13.550000190734863,17779.51953125,2090.35009765625,5095.68994140625,1178.719970703125
2015-10-29,30.13249969482422,9.600000381469727,158.27999877929688,104.87999725341797,44.68000030517578,6.96999979019165,716.9199829101562,53.36000061035156,13.239999771118164,17755.80078125,2089.409912109375,5074.27001953125,1165.6300048828125
2015-10-30,29.875,9.5600004196167,158.1199951171875,101.97000122070312,44.93000030517578,6.849999904632568,710.8099975585938,52.63999938964844,13.279999732971191,17663.5390625,2079.360107421875,5053.75,1161.8599853515625
2015-11-02,30.295000076293945,9.5600004196167,159.14999389648438,103.30999755859375,45.720001220703125,6.980000019073486,721.1099853515625,53.2400016784668,13.420000076293945,17828.759765625,2104.050048828125,5127.14990234375,1186.0899658203125
2015-11-03,30.642499923706055,9.539999961853027,158.8000030517578,102.58000183105469,44.900001525878906,7.010000228881836,722.1599731445312,54.150001525878906,13.350000381469727,17918.150390625,2109.7900390625,5145.1298828125,1191.5799560546875
2015-11-04,30.5,9.350000381469727,157.14999389648438,103.94000244140625,43.540000915527344,6.96999979019165,728.1099853515625,54.400001525878906,15.640000343322754,17867.580078125,2102.31005859375,5142.47998046875,1190.3800048828125
